(~I ==> ~B) . What is ~B ?	(~I ==> ~B) . What is ~B ?	(~I ==> ~B)	Unknown HELP!
D . What is D ?	D . What is D ?	D	True
(~D ^ G) & (G & ~B) & (I ==> ~D) & (I ==> ~D) & (I ==> ~D) . What is ~G ?	(~D ^ G) & (G & ~B) & (I ==> ~D) . What is ~G ?	(~D ^ G) & (G & ~B) & (I ==> ~D)	False
E . What is I ?	E . What is I ?	E	Unknown HELP!
~D . What is D ?	~D . What is D ?	~D	False
(~J | E) & I & (A | ~I) & (A | ~I) & E & (A | ~I) & E & E . What is I ?	(~J | E) & I & (A | ~I) & E . What is I ?	(~J | E) & I & (A | ~I) & E	True
(B ^ D) & ~D & ~D . What is B ?	(B ^ D) & ~D . What is B ?	(B ^ D) & ~D	True
(A ^ ~B) & (I | H) & (I | H) & (~F ^ ~D) & (A ^ ~B) & ~B & (~F ^ ~D) & E & (I | H) & E & (~B & I) & (A ^ ~B) & ~B & ~B . What is ~I ?	(A ^ ~B) & (I | H) & (~F ^ ~D) & ~B & E & (~B & I) . What is ~I ?	(A ^ ~B) & (I | H) & (~F ^ ~D) & ~B & E & (~B & I)	False
~C & ~C . What is C ?	~C . What is C ?	~C	False
H & H . What is ~H ?	H . What is ~H ?	H	False
(~I & G) & (G <=> ~C) & (~I & G) . What is I ?	(~I & G) & (G <=> ~C) . What is I ?	(~I & G) & (G <=> ~C)	False
G & G & G . What is ~G ?	G . What is ~G ?	G	False
C & C & C . What is F ?	C . What is F ?	C	Unknown HELP!
(~A ==> E) & (E ^ B) & E & (E ^ B) & (~A ==> E) & (E ^ B) & (~A ==> E) & (I & ~A) & (I & ~A) & (I & ~A) . What is E ?	(~A ==> E) & (E ^ B) & E & (I & ~A) . What is E ?	(~A ==> E) & (E ^ B) & E & (I & ~A)	True
(~I ^ ~B) & ~F & (J ^ G) & (~B ^ J) & (~B ^ J) & (J ^ G) & (~I ^ ~B) & (~H ^ F) & (~I ^ ~B) & ~I & (~B ^ J) & ~I & ~I . What is G ?	(~I ^ ~B) & ~F & (J ^ G) & (~B ^ J) & (~H ^ F) & ~I . What is G ?	(~I ^ ~B) & ~F & (J ^ G) & (~B ^ J) & (~H ^ F) & ~I	False
~E & ~E & (A | E) & (E ^ F) & (~H & C) & (~I <=> A) & (A | E) & H . What is E ?	~E & (A | E) & (E ^ F) & (~H & C) & (~I <=> A) & H . What is E ?	~E & (A | E) & (E ^ F) & (~H & C) & (~I <=> A) & H	Contradictory
~D & ~D . What is D ?	~D . What is D ?	~D	False
(~A & F) & (F ^ ~D) & (F ^ ~D) & (~A & F) & (F ^ ~D) & (C ^ ~A) & I & I & (~A & F) & (C ^ ~A) & I . What is C ?	(~A & F) & (F ^ ~D) & (C ^ ~A) & I . What is C ?	(~A & F) & (F ^ ~D) & (C ^ ~A) & I	False
~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
 . What is B ?	 . What is B ?		Unknown HELP!
(A ^ C) & (A ^ C) & (~I ==> A) & ~B & (D ^ ~B) & (A ^ C) & (C & J) & (C & J) & (~I ==> A) . What is I ?	(A ^ C) & (~I ==> A) & ~B & (D ^ ~B) & (C & J) . What is I ?	(A ^ C) & (~I ==> A) & ~B & (D ^ ~B) & (C & J)	True
(~F <=> I) & (~F <=> I) & (I ==> E) & ~D & (~D | A) & ~D & ~I & ~I . What is ~F ?	(~F <=> I) & (I ==> E) & ~D & (~D | A) & ~I . What is ~F ?	(~F <=> I) & (I ==> E) & ~D & (~D | A) & ~I	False
~F & (~B <=> ~F) & (~B <=> ~F) & (~B <=> ~F) . What is ~B ?	~F & (~B <=> ~F) . What is ~B ?	~F & (~B <=> ~F)	True
~C & (J | ~D) & (J | ~D) & (J | ~D) . What is ~C ?	~C & (J | ~D) . What is ~C ?	~C & (J | ~D)	True
~A & ~A & ~A . What is ~A ?	~A . What is ~A ?	~A	True
D & D & D . What is ~D ?	D . What is ~D ?	D	False
(J & ~D) & (E | J) & (E | J) & F & F & F & (B <=> F) . What is E ?	(J & ~D) & (E | J) & F & (B <=> F) . What is E ?	(J & ~D) & (E | J) & F & (B <=> F)	Unknown HELP!
(~I <=> E) & ~G & ~C & (~C ^ ~I) & (J & ~C) & ~C & (~C ^ ~I) & (H <=> ~F) & (~I <=> E) & (J & ~C) & (~I <=> E) & ~C & ~G & ~G & (~C ^ ~I) . What is I ?	(~I <=> E) & ~G & ~C & (~C ^ ~I) & (J & ~C) & (H <=> ~F) . What is I ?	(~I <=> E) & ~G & ~C & (~C ^ ~I) & (J & ~C) & (H <=> ~F)	True
(~D ==> E) & (E <=> C) & (E <=> C) & (~D ==> E) & (C | J) & ~J . What is ~E ?	(~D ==> E) & (E <=> C) & (C | J) & ~J . What is ~E ?	(~D ==> E) & (E <=> C) & (C | J) & ~J	False
(~J & ~D) & (~J & ~D) & (~F <=> ~J) & (~H & I) & (~F <=> ~J) & ~F & (~H & I) & ~F & (~H & I) & ~I & ~I & ~I . What is ~C ?	(~J & ~D) & (~F <=> ~J) & (~H & I) & ~F & ~I . What is ~C ?	(~J & ~D) & (~F <=> ~J) & (~H & I) & ~F & ~I	Contradictory
~E & G & (~G & I) & (J ==> ~G) & G & ~E & (I ^ C) & (~E ^ ~D) & (I ^ C) & (I ^ C) & (~G & I) & (~E ^ ~D) & (~G & I) . What is J ?	~E & G & (~G & I) & (J ==> ~G) & (I ^ C) & (~E ^ ~D) . What is J ?	~E & G & (~G & I) & (J ==> ~G) & (I ^ C) & (~E ^ ~D)	Contradictory
H & H & H . What is ~H ?	H . What is ~H ?	H	False
(~A & ~C) & I & (~A & ~C) & (D & ~H) & (~A & ~C) & I . What is D ?	(~A & ~C) & I & (D & ~H) . What is D ?	(~A & ~C) & I & (D & ~H)	True
~H & (~D ^ ~H) & (~D ^ ~H) & (~H <=> ~I) & ~H & (~H <=> ~I) & ~H & (~H <=> ~I) . What is I ?	~H & (~D ^ ~H) & (~H <=> ~I) . What is I ?	~H & (~D ^ ~H) & (~H <=> ~I)	False
E & E & E . What is ~E ?	E . What is ~E ?	E	False
~F & ~F & ~F & (~I & ~G) & (~I & ~G) & (~G | B) & (~G | B) & (~I & ~G) & (~G | B) . What is ~G ?	~F & (~I & ~G) & (~G | B) . What is ~G ?	~F & (~I & ~G) & (~G | B)	True
(~E ==> D) & C & (I | G) & (D & ~J) & C & (D & ~J) . What is ~D ?	(~E ==> D) & C & (I | G) & (D & ~J) . What is ~D ?	(~E ==> D) & C & (I | G) & (D & ~J)	False
(~G | J) & (E | ~G) & (~D & E) & (~G | J) & (~G | J) & (E | ~G) & ~F & (~C | ~F) & (E | ~G) & (~C | ~F) & (~C | ~F) . What is ~E ?	(~G | J) & (E | ~G) & (~D & E) & ~F & (~C | ~F) . What is ~E ?	(~G | J) & (E | ~G) & (~D & E) & ~F & (~C | ~F)	False
E & (E <=> ~C) & E & E . What is ~C ?	E & (E <=> ~C) . What is ~C ?	E & (E <=> ~C)	True
C & C & C . What is C ?	C . What is C ?	C	True
(A ==> ~B) & (A ==> ~B) & A & (A ==> ~B) & G & (~E ==> A) & (~G <=> F) & A . What is B ?	(A ==> ~B) & A & G & (~E ==> A) & (~G <=> F) . What is B ?	(A ==> ~B) & A & G & (~E ==> A) & (~G <=> F)	False
(~F & ~B) & (~B ^ G) & (H | ~E) & (~B ^ G) & (H | ~E) & (~B ^ G) & (~F & ~B) & ~D . What is ~F ?	(~F & ~B) & (~B ^ G) & (H | ~E) & ~D . What is ~F ?	(~F & ~B) & (~B ^ G) & (H | ~E) & ~D	True
C & C & C . What is ~C ?	C . What is ~C ?	C	False
F & (~J ^ F) & (~J ^ F) & (I & ~J) . What is ~I ?	F & (~J ^ F) & (I & ~J) . What is ~I ?	F & (~J ^ F) & (I & ~J)	Contradictory
(~J & ~C) & G & (~F ==> G) & G & G & (D <=> ~J) & (~F ==> G) & (D <=> ~J) & (~F ==> G) . What is D ?	(~J & ~C) & G & (~F ==> G) & (D <=> ~J) . What is D ?	(~J & ~C) & G & (~F ==> G) & (D <=> ~J)	True
(J ^ ~F) & (J ^ ~F) & J & (J ^ ~F) & J & (~I <=> J) & (~I <=> J) & (~I <=> J) . What is F ?	(J ^ ~F) & J & (~I <=> J) . What is F ?	(J ^ ~F) & J & (~I <=> J)	True
(B ^ ~H) & (~H & ~A) & (~H & ~A) & (B ^ ~H) . What is ~B ?	(B ^ ~H) & (~H & ~A) . What is ~B ?	(B ^ ~H) & (~H & ~A)	True
H & H . What is ~H ?	H . What is ~H ?	H	False
(~B & E) & (~B & E) & B & (~B & E) . What is I ?	(~B & E) & B . What is I ?	(~B & E) & B	Contradictory
(B ==> E) & ~D & ~D . What is D ?	(B ==> E) & ~D . What is D ?	(B ==> E) & ~D	False
(G & H) & H & (G & H) & (H & ~F) & (H & ~F) . What is ~H ?	(G & H) & H & (H & ~F) . What is ~H ?	(G & H) & H & (H & ~F)	False
~E & (B <=> E) & (F & B) & (B <=> E) & (B <=> E) & ~E & ~E . What is ~E ?	~E & (B <=> E) & (F & B) . What is ~E ?	~E & (B <=> E) & (F & B)	Contradictory
(B & F) & (A ==> B) & (D & A) & (D & A) & ~J & (C <=> J) & (C <=> J) & (D & A) . What is ~B ?	(B & F) & (A ==> B) & (D & A) & ~J & (C <=> J) . What is ~B ?	(B & F) & (A ==> B) & (D & A) & ~J & (C <=> J)	False
(~H | ~G) & (~H | ~G) & C . What is ~C ?	(~H | ~G) & C . What is ~C ?	(~H | ~G) & C	False
(G ^ ~C) & (G ^ ~C) & (G ^ ~C) & (~C | ~D) & (I ==> B) & G & G & G & (~C | ~D) & (~C | ~D) & I & I & I . What is D ?	(G ^ ~C) & (~C | ~D) & (I ==> B) & G & I . What is D ?	(G ^ ~C) & (~C | ~D) & (I ==> B) & G & I	False
(H <=> E) & (A ==> D) & (E & A) & (H <=> E) & (E & A) & (H <=> E) & (E & A) . What is E ?	(H <=> E) & (A ==> D) & (E & A) . What is E ?	(H <=> E) & (A ==> D) & (E & A)	True
(~B ==> ~J) & (~J ==> I) & ~B & (~J ==> I) & ~B & (~B ==> ~J) & ~B & (~B ==> ~J) . What is ~I ?	(~B ==> ~J) & (~J ==> I) & ~B . What is ~I ?	(~B ==> ~J) & (~J ==> I) & ~B	False
(~A ==> E) & B & (C ==> ~A) & B & (C ==> ~A) & (~I & C) & (C ==> ~A) . What is B ?	(~A ==> E) & B & (C ==> ~A) & (~I & C) . What is B ?	(~A ==> E) & B & (C ==> ~A) & (~I & C)	True
 . What is J ?	 . What is J ?		Unknown HELP!
(A & C) & (A & C) & (A & C) . What is A ?	(A & C) . What is A ?	(A & C)	True
(B & I) & (B & I) & E . What is B ?	(B & I) & E . What is B ?	(B & I) & E	True
F & (F <=> J) & F & F . What is J ?	F & (F <=> J) . What is J ?	F & (F <=> J)	True
~A & (~I ==> ~F) & (~F <=> C) & (~I ==> ~F) & (C ==> ~E) & (~I ==> ~F) & (~A | B) & (C ==> ~E) & ~A & ~A & (C ==> ~E) . What is E ?	~A & (~I ==> ~F) & (~F <=> C) & (C ==> ~E) & (~A | B) . What is E ?	~A & (~I ==> ~F) & (~F <=> C) & (C ==> ~E) & (~A | B)	Unknown HELP!
(E | ~A) & A & (E | ~A) & C & (~J | C) & A & A & (~J | C) & C & C . What is A ?	(E | ~A) & A & C & (~J | C) . What is A ?	(E | ~A) & A & C & (~J | C)	True
(D & ~G) & ~B & (D & ~G) & (D & ~G) & (~I ^ ~B) & (H <=> D) & (H <=> D) & (H <=> D) . What is G ?	(D & ~G) & ~B & (~I ^ ~B) & (H <=> D) . What is G ?	(D & ~G) & ~B & (~I ^ ~B) & (H <=> D)	False
(J & ~F) & (~D | A) & (~D | A) & (J & ~F) & (~F <=> ~D) & (~D | A) . What is D ?	(J & ~F) & (~D | A) & (~F <=> ~D) . What is D ?	(J & ~F) & (~D | A) & (~F <=> ~D)	False
(A ^ I) & (J ==> E) & I & I & ~G & ~G & (A ^ I) & (A ^ I) . What is ~G ?	(A ^ I) & (J ==> E) & I & ~G . What is ~G ?	(A ^ I) & (J ==> E) & I & ~G	True
(E & ~B) & (~B ==> D) & (E & ~B) & D & D . What is B ?	(E & ~B) & (~B ==> D) & D . What is B ?	(E & ~B) & (~B ==> D) & D	False
(H ^ F) & (F ==> ~A) & B & (~A ^ I) & (~A ^ I) & (H ^ F) & ~H & ~H & (~E ==> ~D) . What is ~A ?	(H ^ F) & (F ==> ~A) & B & (~A ^ I) & ~H & (~E ==> ~D) . What is ~A ?	(H ^ F) & (F ==> ~A) & B & (~A ^ I) & ~H & (~E ==> ~D)	True
(G | F) & ~D & ~C & (G | F) & ~D & (~B ^ D) & (F <=> ~E) & (G | F) & (~B ^ D) . What is C ?	(G | F) & ~D & ~C & (~B ^ D) & (F <=> ~E) . What is C ?	(G | F) & ~D & ~C & (~B ^ D) & (F <=> ~E)	False
G & G & G . What is ~G ?	G . What is ~G ?	G	False
J & J & J . What is J ?	J . What is J ?	J	True
C & C . What is C ?	C . What is C ?	C	True
(D & ~C) & (H | D) & (H | D) & ~B & (D & ~C) & (~C ^ ~G) & ~B & (~C ^ ~G) & (H | D) & (~C ^ ~G) & ~B . What is ~G ?	(D & ~C) & (H | D) & ~B & (~C ^ ~G) . What is ~G ?	(D & ~C) & (H | D) & ~B & (~C ^ ~G)	False
(C & G) & (A | ~J) & (~J <=> C) & (~J <=> C) & ~C & (~J <=> C) & (A | ~J) & (C & G) & ~C & ~C . What is ~F ?	(C & G) & (A | ~J) & (~J <=> C) & ~C . What is ~F ?	(C & G) & (A | ~J) & (~J <=> C) & ~C	Contradictory
F & F . What is G ?	F . What is G ?	F	Unknown HELP!
D . What is D ?	D . What is D ?	D	True
(G & C) & I & (G & C) . What is C ?	(G & C) & I . What is C ?	(G & C) & I	True
(~G <=> ~H) & ~J & (~H ^ ~J) & (~H ^ ~J) . What is H ?	(~G <=> ~H) & ~J & (~H ^ ~J) . What is H ?	(~G <=> ~H) & ~J & (~H ^ ~J)	True
B & B & ~G & (G & I) & (H <=> ~D) & (H <=> ~D) & ~G . What is F ?	B & ~G & (G & I) & (H <=> ~D) . What is F ?	B & ~G & (G & I) & (H <=> ~D)	Contradictory
~G & (H & ~A) & (H & ~A) & (~A ==> E) & ~G & (~A ==> E) & (~A ==> E) & ~G & (H & ~A) & (B & ~G) & (B & ~G) & (B & ~G) . What is E ?	~G & (H & ~A) & (~A ==> E) & (B & ~G) . What is E ?	~G & (H & ~A) & (~A ==> E) & (B & ~G)	True
(D ==> ~I) & (F <=> A) & F & ~I & F & (~I <=> ~G) & (D ==> ~I) & (D ==> ~I) . What is ~I ?	(D ==> ~I) & (F <=> A) & F & ~I & (~I <=> ~G) . What is ~I ?	(D ==> ~I) & (F <=> A) & F & ~I & (~I <=> ~G)	True
(G <=> H) & (H ==> ~D) & (~C & G) & (H ==> ~D) & (G <=> H) & (~C & G) . What is H ?	(G <=> H) & (H ==> ~D) & (~C & G) . What is H ?	(G <=> H) & (H ==> ~D) & (~C & G)	True
(~B ^ F) & (F & C) & (F & C) & (~E & ~B) & (F & C) . What is E ?	(~B ^ F) & (F & C) & (~E & ~B) . What is E ?	(~B ^ F) & (F & C) & (~E & ~B)	Contradictory
(D <=> C) & (D <=> C) & (~I ==> J) & (~I ==> J) & (~E ==> ~I) & ~A & (~I ==> J) . What is J ?	(D <=> C) & (~I ==> J) & (~E ==> ~I) & ~A . What is J ?	(D <=> C) & (~I ==> J) & (~E ==> ~I) & ~A	Unknown HELP!
(~E <=> ~J) & B & (~F & ~I) & (~F & ~I) & (D ^ ~C) & ~H & ~H & (~J <=> ~F) & B & (~J <=> ~F) & (~J <=> ~F) . What is ~J ?	(~E <=> ~J) & B & (~F & ~I) & (D ^ ~C) & ~H & (~J <=> ~F) . What is ~J ?	(~E <=> ~J) & B & (~F & ~I) & (D ^ ~C) & ~H & (~J <=> ~F)	True
~A & ~A & (~C <=> A) & (~C <=> A) . What is ~A ?	~A & (~C <=> A) . What is ~A ?	~A & (~C <=> A)	True
~H & ~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
(I <=> ~D) & ~D & (C <=> I) . What is ~D ?	(I <=> ~D) & ~D & (C <=> I) . What is ~D ?	(I <=> ~D) & ~D & (C <=> I)	True
(~A & ~C) & (~F ^ ~A) & B & (~D ^ E) & (~F ^ ~A) & B & (~F ^ ~A) & C & C . What is ~C ?	(~A & ~C) & (~F ^ ~A) & B & (~D ^ E) & C . What is ~C ?	(~A & ~C) & (~F ^ ~A) & B & (~D ^ E) & C	Contradictory
~E & (E <=> D) & (~I ^ C) & ~E & ~C & (~I ^ C) & (~I ^ C) & (E <=> D) & (E <=> D) . What is C ?	~E & (E <=> D) & (~I ^ C) & ~C . What is C ?	~E & (E <=> D) & (~I ^ C) & ~C	False
~C & ~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
(D & I) & H & (H | A) & (D & I) & H & H . What is D ?	(D & I) & H & (H | A) . What is D ?	(D & I) & H & (H | A)	True
(~B ^ ~F) & B & B & (~B ^ ~F) . What is ~F ?	(~B ^ ~F) & B . What is ~F ?	(~B ^ ~F) & B	True
~I & (~J & D) & ~I & ~I . What is J ?	~I & (~J & D) . What is J ?	~I & (~J & D)	False
~B & (~B ==> G) & (~B ==> G) & ~B & (~E ==> ~B) & ~B & (~E ==> ~B) & (~E ==> ~B) . What is B ?	~B & (~B ==> G) & (~E ==> ~B) . What is B ?	~B & (~B ==> G) & (~E ==> ~B)	False
(~G ==> ~H) & B & B & (~F <=> ~B) & (~B | ~G) . What is H ?	(~G ==> ~H) & B & (~F <=> ~B) & (~B | ~G) . What is H ?	(~G ==> ~H) & B & (~F <=> ~B) & (~B | ~G)	False
~B & ~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
(C & D) & (C & D) & ~B & (I ==> J) & (I ==> J) & (I ==> J) . What is C ?	(C & D) & ~B & (I ==> J) . What is C ?	(C & D) & ~B & (I ==> J)	True
B & B & (B <=> ~E) & B . What is E ?	B & (B <=> ~E) . What is E ?	B & (B <=> ~E)	False
(C ==> J) & ~B & (J & ~H) & (J & ~H) & ~B & (~H <=> ~G) & (C ==> J) & (F <=> A) & (C ==> J) . What is ~H ?	(C ==> J) & ~B & (J & ~H) & (~H <=> ~G) & (F <=> A) . What is ~H ?	(C ==> J) & ~B & (J & ~H) & (~H <=> ~G) & (F <=> A)	True
(C ==> F) & (C ==> F) & ~G & (F | ~G) & ~G & (F | ~G) . What is ~F ?	(C ==> F) & ~G & (F | ~G) . What is ~F ?	(C ==> F) & ~G & (F | ~G)	Unknown HELP!
~D & ~D & ~D . What is D ?	~D . What is D ?	~D	False
(I ==> ~G) & ~A & (J <=> ~A) & G & (J <=> ~A) & ~A & (~G & C) & (~G & C) & (J <=> ~A) & (~G & C) . What is ~G ?	(I ==> ~G) & ~A & (J <=> ~A) & G & (~G & C) . What is ~G ?	(I ==> ~G) & ~A & (J <=> ~A) & G & (~G & C)	Contradictory
G & (H | ~G) & G & G & (H | ~G) & (~B & C) . What is ~C ?	G & (H | ~G) & (~B & C) . What is ~C ?	G & (H | ~G) & (~B & C)	False
(A ^ D) & (~F & J) & ~F & ~F & (A ^ D) & (J & A) & (~F & J) & (~F & J) & (A ^ D) & C & (J & A) & C & C & (~B <=> ~E) & (~B <=> ~E) . What is A ?	(A ^ D) & (~F & J) & ~F & (J & A) & C & (~B <=> ~E) . What is A ?	(A ^ D) & (~F & J) & ~F & (J & A) & C & (~B <=> ~E)	True
(F & ~J) & (F & ~J) & (H | A) & (~J ^ H) & (~J ^ H) & (F & ~J) & (H | A) . What is F ?	(F & ~J) & (H | A) & (~J ^ H) . What is F ?	(F & ~J) & (H | A) & (~J ^ H)	True
B . What is ~B ?	B . What is ~B ?	B	False
(~C ==> F) & B & B & B & (~C ==> F) & (~B & A) & (~C ==> F) . What is ~C ?	(~C ==> F) & B & (~B & A) . What is ~C ?	(~C ==> F) & B & (~B & A)	Contradictory
(C ^ A) & (~B <=> C) & (A <=> ~G) & (A <=> ~G) . What is ~C ?	(C ^ A) & (~B <=> C) & (A <=> ~G) . What is ~C ?	(C ^ A) & (~B <=> C) & (A <=> ~G)	Unknown HELP!
~G . What is G ?	~G . What is G ?	~G	False
(I & A) & ~C & ~C & (J ^ I) & (I & A) & (I & A) & (J ^ I) & (J ^ I) . What is ~I ?	(I & A) & ~C & (J ^ I) . What is ~I ?	(I & A) & ~C & (J ^ I)	False
D & C & (~D & E) & (~D & E) & (~D & E) & (H | I) & (H | I) . What is ~E ?	D & C & (~D & E) & (H | I) . What is ~E ?	D & C & (~D & E) & (H | I)	Contradictory
(~A <=> ~F) & ~F & (J & ~A) & (J & ~A) & (J & ~A) & ~F . What is ~J ?	(~A <=> ~F) & ~F & (J & ~A) . What is ~J ?	(~A <=> ~F) & ~F & (J & ~A)	False
~E & ~E & ~E . What is E ?	~E . What is E ?	~E	False
D & (B & ~A) & (~A ^ ~I) & D & (~A ^ ~I) . What is ~D ?	D & (B & ~A) & (~A ^ ~I) . What is ~D ?	D & (B & ~A) & (~A ^ ~I)	False
(~D & ~I) & (~D & ~I) & (G ==> ~B) & (G ==> ~B) & C & (E | A) & (~D & ~I) & (E | A) & C & (~I | E) & (~I | E) & (~I | E) . What is ~D ?	(~D & ~I) & (G ==> ~B) & C & (E | A) & (~I | E) . What is ~D ?	(~D & ~I) & (G ==> ~B) & C & (E | A) & (~I | E)	True
A & (~A ^ ~B) & (C ^ ~A) & (~A ^ ~B) & (~A ^ ~B) & (C ^ ~A) . What is C ?	A & (~A ^ ~B) & (C ^ ~A) . What is C ?	A & (~A ^ ~B) & (C ^ ~A)	True
(B ==> ~A) & (~A ^ ~E) & (B ==> ~A) & (D ==> B) & (B ==> ~A) & (~A ^ ~E) & ~E & (~A ^ ~E) . What is E ?	(B ==> ~A) & (~A ^ ~E) & (D ==> B) & ~E . What is E ?	(B ==> ~A) & (~A ^ ~E) & (D ==> B) & ~E	False
~J & (D ==> C) & ~J & ~G & (~H | B) & (B <=> ~J) & (~H | B) & (B <=> ~J) & (B <=> ~J) & (~J & ~I) & (~J & ~I) & (~H | B) . What is ~J ?	~J & (D ==> C) & ~G & (~H | B) & (B <=> ~J) & (~J & ~I) . What is ~J ?	~J & (D ==> C) & ~G & (~H | B) & (B <=> ~J) & (~J & ~I)	True
(A & ~D) & (A & ~D) & (A & ~D) & (~D | ~F) & (~D | ~F) & (~D | ~F) & ~F & ~F . What is D ?	(A & ~D) & (~D | ~F) & ~F . What is D ?	(A & ~D) & (~D | ~F) & ~F	False
(I ==> D) & (~F <=> ~C) & (~G <=> ~J) & C & J & J & (~J <=> I) & C . What is G ?	(I ==> D) & (~F <=> ~C) & (~G <=> ~J) & C & J & (~J <=> I) . What is G ?	(I ==> D) & (~F <=> ~C) & (~G <=> ~J) & C & J & (~J <=> I)	True
A & D & (~I & A) & (~I & A) & A & (~D <=> ~C) & D & (E ==> ~D) & (E ==> ~D) . What is C ?	A & D & (~I & A) & (~D <=> ~C) & (E ==> ~D) . What is C ?	A & D & (~I & A) & (~D <=> ~C) & (E ==> ~D)	True
E & (F ^ ~J) & (F ^ ~J) & (E ==> F) & (E ==> F) . What is F ?	E & (F ^ ~J) & (E ==> F) . What is F ?	E & (F ^ ~J) & (E ==> F)	True
~A & ~A & ~A . What is D ?	~A . What is D ?	~A	Unknown HELP!
D & D & D . What is D ?	D . What is D ?	D	True
~F & (G ^ ~E) & (~A <=> C) & (~A <=> C) & (~H | G) & (~A <=> C) & (~H | G) & ~E & ~F & ~E & ~E . What is ~G ?	~F & (G ^ ~E) & (~A <=> C) & (~H | G) & ~E . What is ~G ?	~F & (G ^ ~E) & (~A <=> C) & (~H | G) & ~E	True
~D & ~D & ~D . What is G ?	~D . What is G ?	~D	Unknown HELP!
(J ^ E) & (J ^ E) & ~J . What is E ?	(J ^ E) & ~J . What is E ?	(J ^ E) & ~J	True
~G . What is G ?	~G . What is G ?	~G	False
(A <=> ~I) & (~I & D) & (~I & D) & (~I & D) & (~G | A) & (~G | A) . What is ~I ?	(A <=> ~I) & (~I & D) & (~G | A) . What is ~I ?	(A <=> ~I) & (~I & D) & (~G | A)	True
H . What is ~H ?	H . What is ~H ?	H	False
(H ==> I) & (I <=> A) & (~F ==> H) & (~F ==> H) & (I <=> A) & (I <=> A) & H & (~F ==> H) & H & H . What is ~A ?	(H ==> I) & (I <=> A) & (~F ==> H) & H . What is ~A ?	(H ==> I) & (I <=> A) & (~F ==> H) & H	False
~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
E & (G & B) & (B | D) & (B | D) & E & E . What is D ?	E & (G & B) & (B | D) . What is D ?	E & (G & B) & (B | D)	Unknown HELP!
(H ==> ~D) & F & F & F . What is ~F ?	(H ==> ~D) & F . What is ~F ?	(H ==> ~D) & F	False
 . What is F ?	 . What is F ?		Unknown HELP!
(~H & I) & (~H & I) . What is ~H ?	(~H & I) . What is ~H ?	(~H & I)	True
(~E ==> ~H) & (~E ==> ~H) & (J | ~A) & E & E & (~F ==> I) & (I <=> J) & (~F ==> I) & E & (~F ==> I) & A & A & A . What is J ?	(~E ==> ~H) & (J | ~A) & E & (~F ==> I) & (I <=> J) & A . What is J ?	(~E ==> ~H) & (J | ~A) & E & (~F ==> I) & (I <=> J) & A	True
(~G & ~A) & (~G & ~A) & (~A & ~B) & (~A & ~B) . What is B ?	(~G & ~A) & (~A & ~B) . What is B ?	(~G & ~A) & (~A & ~B)	False
(B ==> F) & ~C & (~H ==> E) & (~J <=> ~H) & (~J <=> ~H) & (~A & ~J) & (B ==> F) & (B ==> F) & ~C . What is ~J ?	(B ==> F) & ~C & (~H ==> E) & (~J <=> ~H) & (~A & ~J) . What is ~J ?	(B ==> F) & ~C & (~H ==> E) & (~J <=> ~H) & (~A & ~J)	True
(E & ~F) . What is ~F ?	(E & ~F) . What is ~F ?	(E & ~F)	True
(~I ^ J) & I & I & (D & ~A) & (~C ^ D) & (D & ~A) & I & (~I ^ J) & (D & ~A) . What is ~D ?	(~I ^ J) & I & (D & ~A) & (~C ^ D) . What is ~D ?	(~I ^ J) & I & (D & ~A) & (~C ^ D)	False
(~E ==> I) & (I ==> ~D) & (I ==> ~D) & ~E & (~E ==> I) & (I ==> ~D) & ~E & ~E . What is ~I ?	(~E ==> I) & (I ==> ~D) & ~E . What is ~I ?	(~E ==> I) & (I ==> ~D) & ~E	False
(C | ~B) & (~E ==> ~A) & ~A & ~A & (C | ~B) & (C | ~B) & (~E ==> ~A) . What is H ?	(C | ~B) & (~E ==> ~A) & ~A . What is H ?	(C | ~B) & (~E ==> ~A) & ~A	Unknown HELP!
F & (J <=> G) & (H ^ ~D) & (J <=> G) & C & F & (J <=> G) & (H ^ ~D) & C . What is J ?	F & (J <=> G) & (H ^ ~D) & C . What is J ?	F & (J <=> G) & (H ^ ~D) & C	Unknown HELP!
D & (~A | ~D) & ~G & (~D <=> ~B) & (H ==> ~G) & (H ==> ~G) & D & D . What is D ?	D & (~A | ~D) & ~G & (~D <=> ~B) & (H ==> ~G) . What is D ?	D & (~A | ~D) & ~G & (~D <=> ~B) & (H ==> ~G)	True
H & H & (~H <=> C) & H . What is ~C ?	H & (~H <=> C) . What is ~C ?	H & (~H <=> C)	True
(B <=> I) & ~I & (C & ~D) & (C & ~D) & (~H & ~A) & (B <=> I) & (B <=> I) & (~D ^ ~H) & (~D ^ ~H) . What is ~H ?	(B <=> I) & ~I & (C & ~D) & (~H & ~A) & (~D ^ ~H) . What is ~H ?	(B <=> I) & ~I & (C & ~D) & (~H & ~A) & (~D ^ ~H)	Contradictory
~D . What is ~D ?	~D . What is ~D ?	~D	True
