E & (~B ==> C) & E & (~E ^ ~G) & (~E ^ ~G) & E & (~E ^ ~G) & (~B ==> C) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G)	Unknown HELP!
(B & H) & (~C | B) & (~C | B) & (~C | B) . What is ~B ?	(B & H) & (~C | B) . What is ~B ?	(B & H) & (~C | B)	False
~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
~H & (~H ==> ~B) & (~B & ~I) & (~H ==> ~B) & ~H & (~B & ~I) & (~H ==> ~B) & (~B & ~I) . What is I ?	~H & (~H ==> ~B) & (~B & ~I) . What is I ?	~H & (~H ==> ~B) & (~B & ~I)	False
I & (~I ^ A) & (J <=> F) & I & F & (J <=> F) & F & F & I . What is ~I ?	I & (~I ^ A) & (J <=> F) & F . What is ~I ?	I & (~I ^ A) & (J <=> F) & F	False
(~A ^ ~J) & A . What is A ?	(~A ^ ~J) & A . What is A ?	(~A ^ ~J) & A	True
(A & H) & C & C & (H ^ B) & C & (A & H) & (A & H) & (H ^ B) & (H ^ B) . What is ~C ?	(A & H) & C & (H ^ B) . What is ~C ?	(A & H) & C & (H ^ B)	False
~A . What is A ?	~A . What is A ?	~A	False
(A & ~B) & (~E ==> A) & (~E ==> A) & (~E ==> A) . What is ~B ?	(A & ~B) & (~E ==> A) . What is ~B ?	(A & ~B) & (~E ==> A)	True
(D ^ G) & (E <=> D) & (E <=> D) . What is ~D ?	(D ^ G) & (E <=> D) . What is ~D ?	(D ^ G) & (E <=> D)	Unknown HELP!
~F & ~F & ~F . What is F ?	~F . What is F ?	~F	False
(~I ^ ~D) & (~I ^ ~D) & (G <=> F) & (G <=> F) & (~D & G) & (~D & G) & (~D & G) . What is D ?	(~I ^ ~D) & (G <=> F) & (~D & G) . What is D ?	(~I ^ ~D) & (G <=> F) & (~D & G)	False
~J & (~B | C) & (~B | C) & ~J . What is J ?	~J & (~B | C) . What is J ?	~J & (~B | C)	False
H . What is ~H ?	H . What is ~H ?	H	False
~D & ~D & ~D . What is D ?	~D . What is D ?	~D	False
(E ^ H) & (~G & E) & (~G & E) & (~G & E) & ~G & ~G & ~G . What is E ?	(E ^ H) & (~G & E) & ~G . What is E ?	(E ^ H) & (~G & E) & ~G	True
(A | ~I) & ~G & (A | ~I) & ~G & (G & A) & (E | G) & (E | G) & (E | G) & ~G & (G & A) & (A | ~I) & (G & A) . What is ~A ?	(A | ~I) & ~G & (G & A) & (E | G) . What is ~A ?	(A | ~I) & ~G & (G & A) & (E | G)	Contradictory
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
~B & (H | ~B) & ~J & (J | ~C) & (H | ~B) & ~B & (J | ~C) & ~B & (J | ~C) & (H | ~B) . What is ~B ?	~B & (H | ~B) & ~J & (J | ~C) . What is ~B ?	~B & (H | ~B) & ~J & (J | ~C)	True
(~A & ~B) & ~C & (~E ==> ~J) & F & (~E ==> ~J) & F & (~A & ~B) . What is A ?	(~A & ~B) & ~C & (~E ==> ~J) & F . What is A ?	(~A & ~B) & ~C & (~E ==> ~J) & F	False
~A . What is ~A ?	~A . What is ~A ?	~A	True
(~H <=> G) & H & ~C & H & (J | C) & (B | ~H) & (B | ~H) & (J | C) & (J | C) . What is ~G ?	(~H <=> G) & H & ~C & (J | C) & (B | ~H) . What is ~G ?	(~H <=> G) & H & ~C & (J | C) & (B | ~H)	True
(A ^ ~E) & (B <=> A) & (~J | ~F) & (A ^ ~E) & J & J & (B <=> A) & J . What is A ?	(A ^ ~E) & (B <=> A) & (~J | ~F) & J . What is A ?	(A ^ ~E) & (B <=> A) & (~J | ~F) & J	Unknown HELP!
(~F <=> ~I) & F & (~F <=> ~I) & (J | ~F) & (J | ~F) & F & (~F <=> ~I) . What is J ?	(~F <=> ~I) & F & (J | ~F) . What is J ?	(~F <=> ~I) & F & (J | ~F)	True
(~E ==> ~I) & (~G & C) & (~E ==> ~I) & (~E ==> ~I) & (~G & C) & (~I & ~G) & (~I & ~G) . What is ~C ?	(~E ==> ~I) & (~G & C) & (~I & ~G) . What is ~C ?	(~E ==> ~I) & (~G & C) & (~I & ~G)	False
J & ~B & (H <=> I) & (~A ==> ~J) & (~J <=> H) & (~C ^ B) & (~C ^ B) & (H <=> I) & (~J <=> H) & (~J <=> H) . What is ~H ?	J & ~B & (H <=> I) & (~A ==> ~J) & (~J <=> H) & (~C ^ B) . What is ~H ?	J & ~B & (H <=> I) & (~A ==> ~J) & (~J <=> H) & (~C ^ B)	True
(F & H) & B & (H ^ A) & (G & B) & B & (~J <=> F) & (G & B) & (H ^ A) . What is H ?	(F & H) & B & (H ^ A) & (G & B) & (~J <=> F) . What is H ?	(F & H) & B & (H ^ A) & (G & B) & (~J <=> F)	True
H & (~J ^ ~B) & (~J ^ ~B) & (~G | A) & (~G | A) & H . What is ~A ?	H & (~J ^ ~B) & (~G | A) . What is ~A ?	H & (~J ^ ~B) & (~G | A)	Unknown HELP!
J & J . What is ~J ?	J . What is ~J ?	J	False
(A & C) & (J ==> A) & (C & E) & (C & E) & (C & E) . What is E ?	(A & C) & (J ==> A) & (C & E) . What is E ?	(A & C) & (J ==> A) & (C & E)	True
I & (~G & B) & (C & ~D) & (C & ~D) & (C & ~D) & I . What is C ?	I & (~G & B) & (C & ~D) . What is C ?	I & (~G & B) & (C & ~D)	True
(B ==> E) & F & (B ==> E) & ~J & (F & D) & (F & D) & (F & D) . What is ~J ?	(B ==> E) & F & ~J & (F & D) . What is ~J ?	(B ==> E) & F & ~J & (F & D)	True
J & J & (~H ==> D) & (~H ==> D) & H & (~I ==> ~H) & (A ==> J) . What is ~H ?	J & (~H ==> D) & H & (~I ==> ~H) & (A ==> J) . What is ~H ?	J & (~H ==> D) & H & (~I ==> ~H) & (A ==> J)	False
H & H & H . What is H ?	H . What is H ?	H	True
(~E & A) & (I <=> ~H) & H & ~J & (A & ~J) & (A & ~J) & (A & ~J) & (I <=> ~H) & (~E & A) . What is E ?	(~E & A) & (I <=> ~H) & H & ~J & (A & ~J) . What is E ?	(~E & A) & (I <=> ~H) & H & ~J & (A & ~J)	False
(J <=> E) & (J <=> E) & (E ==> ~A) & ~J . What is J ?	(J <=> E) & (E ==> ~A) & ~J . What is J ?	(J <=> E) & (E ==> ~A) & ~J	False
(~F & I) & (C ==> ~D) & (~D & ~F) & (C ==> ~D) & (C ==> ~D) . What is ~I ?	(~F & I) & (C ==> ~D) & (~D & ~F) . What is ~I ?	(~F & I) & (C ==> ~D) & (~D & ~F)	False
(~J ^ I) & (~J ^ I) & (~J ^ I) & (~E ==> ~J) & (~E ==> ~J) & ~B & (I & ~B) & (I & ~B) & (I & ~B) . What is ~J ?	(~J ^ I) & (~E ==> ~J) & ~B & (I & ~B) . What is ~J ?	(~J ^ I) & (~E ==> ~J) & ~B & (I & ~B)	False
(~B ^ H) & F & (~C ==> ~F) & F & F & (~B ^ H) & B & (~C ==> ~F) & (~F & ~E) & (~B ^ H) & B & (~F & ~E) & (~F & ~E) & B & (~C ==> ~F) . What is E ?	(~B ^ H) & F & (~C ==> ~F) & B & (~F & ~E) . What is E ?	(~B ^ H) & F & (~C ==> ~F) & B & (~F & ~E)	Contradictory
~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
(~G <=> ~C) & ~C & (F & ~G) & (~G <=> ~C) & (F & ~G) . What is G ?	(~G <=> ~C) & ~C & (F & ~G) . What is G ?	(~G <=> ~C) & ~C & (F & ~G)	False
(~F ^ ~I) & (~F ^ ~I) & (~I | H) & (~I | H) & ~H & (~I | H) & (H | J) & ~H & (H | J) . What is I ?	(~F ^ ~I) & (~I | H) & ~H & (H | J) . What is I ?	(~F ^ ~I) & (~I | H) & ~H & (H | J)	False
~B . What is B ?	~B . What is B ?	~B	False
(~E & G) & F & (~E & G) & (~E & G) . What is G ?	(~E & G) & F . What is G ?	(~E & G) & F	True
(F | A) & ~A & (A ^ C) & (F | A) & (F | A) . What is ~C ?	(F | A) & ~A & (A ^ C) . What is ~C ?	(F | A) & ~A & (A ^ C)	False
~E & (~E ==> J) & (B & I) & ~E & ~E . What is B ?	~E & (~E ==> J) & (B & I) . What is B ?	~E & (~E ==> J) & (B & I)	True
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(D & ~G) & H & (D & ~G) & H & (H & A) & (D & ~G) & (~G ==> ~I) & H & (~I <=> J) & (~G ==> ~I) . What is G ?	(D & ~G) & H & (H & A) & (~G ==> ~I) & (~I <=> J) . What is G ?	(D & ~G) & H & (H & A) & (~G ==> ~I) & (~I <=> J)	False
B & (~E & D) & (D ==> ~C) & (I ==> ~B) & (F | ~E) & (F | ~E) & (F | ~E) . What is D ?	B & (~E & D) & (D ==> ~C) & (I ==> ~B) & (F | ~E) . What is D ?	B & (~E & D) & (D ==> ~C) & (I ==> ~B) & (F | ~E)	True
(I ==> G) & (G <=> ~B) & (G <=> ~B) & (~B ^ F) & G & G & G . What is ~B ?	(I ==> G) & (G <=> ~B) & (~B ^ F) & G . What is ~B ?	(I ==> G) & (G <=> ~B) & (~B ^ F) & G	True
A & A . What is G ?	A . What is G ?	A	Unknown HELP!
(A ==> D) & (A ==> D) & (~E | A) & (~E | A) & (I | ~E) . What is A ?	(A ==> D) & (~E | A) & (I | ~E) . What is A ?	(A ==> D) & (~E | A) & (I | ~E)	Unknown HELP!
(E & J) & (D <=> G) & (D <=> G) & (G <=> E) & (D <=> G) . What is J ?	(E & J) & (D <=> G) & (G <=> E) . What is J ?	(E & J) & (D <=> G) & (G <=> E)	True
(H ==> ~F) & (H ==> ~F) . What is ~E ?	(H ==> ~F) . What is ~E ?	(H ==> ~F)	Unknown HELP!
(~G | F) & (J ==> ~G) & (C ==> ~D) & ~J & (J ==> ~G) & (~G | F) & ~D & ~D & (A ^ J) & ~J & (A ^ J) & (C ==> ~D) & (C ==> ~D) . What is A ?	(~G | F) & (J ==> ~G) & (C ==> ~D) & ~J & ~D & (A ^ J) . What is A ?	(~G | F) & (J ==> ~G) & (C ==> ~D) & ~J & ~D & (A ^ J)	True
(~C ==> E) & (F <=> A) & (~C ==> E) & ~G & (~C ==> E) & (F <=> A) & ~G & ~H . What is ~G ?	(~C ==> E) & (F <=> A) & ~G & ~H . What is ~G ?	(~C ==> E) & (F <=> A) & ~G & ~H	True
(A ^ ~B) & (A ^ ~B) & (A ^ ~B) & (H <=> A) & H & (H <=> A) . What is ~H ?	(A ^ ~B) & (H <=> A) & H . What is ~H ?	(A ^ ~B) & (H <=> A) & H	False
(G <=> ~B) & (E & ~H) & (E & ~H) & (~H ==> J) & C & (G <=> ~B) & (~H ==> J) & (~H ==> J) & ~F & ~F & C & C . What is C ?	(G <=> ~B) & (E & ~H) & (~H ==> J) & C & ~F . What is C ?	(G <=> ~B) & (E & ~H) & (~H ==> J) & C & ~F	True
C & C & C . What is ~C ?	C . What is ~C ?	C	False
~B & ~B & ~B . What is B ?	~B . What is B ?	~B	False
G . What is ~C ?	G . What is ~C ?	G	Unknown HELP!
(~A & D) & (~J ^ ~H) & (~H ^ ~A) . What is H ?	(~A & D) & (~J ^ ~H) & (~H ^ ~A) . What is H ?	(~A & D) & (~J ^ ~H) & (~H ^ ~A)	True
~F . What is F ?	~F . What is F ?	~F	False
~D & (~D & B) & (~D & B) & (E <=> C) & (C | ~G) & (E <=> C) & (~D & B) & (~G <=> ~I) & ~F & (E <=> C) & ~D . What is ~F ?	~D & (~D & B) & (E <=> C) & (C | ~G) & (~G <=> ~I) & ~F . What is ~F ?	~D & (~D & B) & (E <=> C) & (C | ~G) & (~G <=> ~I) & ~F	True
(C <=> ~A) & ~J & ~J & ~J . What is J ?	(C <=> ~A) & ~J . What is J ?	(C <=> ~A) & ~J	False
(~F ^ ~E) & A & A & (~I | ~G) & (~I | ~G) & I & A & (~F ^ ~E) & (~I | ~G) . What is ~E ?	(~F ^ ~E) & A & (~I | ~G) & I . What is ~E ?	(~F ^ ~E) & A & (~I | ~G) & I	Unknown HELP!
(D ^ ~J) & (I & D) . What is I ?	(D ^ ~J) & (I & D) . What is I ?	(D ^ ~J) & (I & D)	True
F & (~F | ~D) & J & (~F | ~D) & (~D ^ B) & (~C | A) & J & (~D ^ B) & (~C | A) & (~D ^ B) & (~F | ~D) & (~C | A) . What is ~B ?	F & (~F | ~D) & J & (~D ^ B) & (~C | A) . What is ~B ?	F & (~F | ~D) & J & (~D ^ B) & (~C | A)	True
(~A | D) & ~D & ~D & ~D . What is A ?	(~A | D) & ~D . What is A ?	(~A | D) & ~D	False
~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
~C & (~C & ~J) & ~C & ~C . What is C ?	~C & (~C & ~J) . What is C ?	~C & (~C & ~J)	False
(~D ^ ~G) & (E <=> ~B) & (~B ^ ~D) & (~D ^ ~G) & ~F & G & (~B ^ ~D) & (F ^ H) & (F ^ H) & (E <=> ~B) & (F ^ H) & (E <=> ~B) . What is ~B ?	(~D ^ ~G) & (E <=> ~B) & (~B ^ ~D) & ~F & G & (F ^ H) . What is ~B ?	(~D ^ ~G) & (E <=> ~B) & (~B ^ ~D) & ~F & G & (F ^ H)	False
C & (~B | C) & H & (H | G) & (D ==> ~B) & (H | G) & (A ^ D) & (~B | C) & (~B | C) & H & H . What is C ?	C & (~B | C) & H & (H | G) & (D ==> ~B) & (A ^ D) . What is C ?	C & (~B | C) & H & (H | G) & (D ==> ~B) & (A ^ D)	True
(~A | I) & (~H <=> ~A) & (~C & G) & (I & F) & (~C & G) & (~H <=> ~A) & (~C & G) & (~H <=> ~A) & C & (~A | I) & (I & F) & (I & F) . What is ~A ?	(~A | I) & (~H <=> ~A) & (~C & G) & (I & F) & C . What is ~A ?	(~A | I) & (~H <=> ~A) & (~C & G) & (I & F) & C	Contradictory
H & H . What is H ?	H . What is H ?	H	True
(~C ==> ~G) & (~G | ~F) & (~C ==> ~G) & (~G | ~F) & (~C ==> ~G) . What is ~F ?	(~C ==> ~G) & (~G | ~F) . What is ~F ?	(~C ==> ~G) & (~G | ~F)	Unknown HELP!
~B & ~B . What is B ?	~B . What is B ?	~B	False
(~J ^ ~E) & (~E & I) & (I ^ ~B) & (~E & I) . What is ~I ?	(~J ^ ~E) & (~E & I) & (I ^ ~B) . What is ~I ?	(~J ^ ~E) & (~E & I) & (I ^ ~B)	False
~C & (E | ~H) & G & (C ^ ~A) & ~C & (C ^ ~A) . What is ~G ?	~C & (E | ~H) & G & (C ^ ~A) . What is ~G ?	~C & (E | ~H) & G & (C ^ ~A)	False
(H ==> E) & E & (~I ==> B) & (H ==> E) & B & (H ==> E) & (J & ~I) & (J & ~I) & (~I ==> B) & (J & ~I) & (D & J) & (~I ==> B) . What is ~D ?	(H ==> E) & E & (~I ==> B) & B & (J & ~I) & (D & J) . What is ~D ?	(H ==> E) & E & (~I ==> B) & B & (J & ~I) & (D & J)	False
~H & ~H & (H ==> A) & (H ==> A) & (H ==> A) . What is ~H ?	~H & (H ==> A) . What is ~H ?	~H & (H ==> A)	True
(~B <=> H) & (H & ~D) & (F ^ ~B) . What is ~F ?	(~B <=> H) & (H & ~D) & (F ^ ~B) . What is ~F ?	(~B <=> H) & (H & ~D) & (F ^ ~B)	True
(~B ==> ~J) & F & A & F & (~J | ~A) & F & (~J | ~A) & (~J | ~A) & (F ==> C) & (F ==> C) & (F ==> C) . What is ~A ?	(~B ==> ~J) & F & A & (~J | ~A) & (F ==> C) . What is ~A ?	(~B ==> ~J) & F & A & (~J | ~A) & (F ==> C)	False
(F & H) & (~J | I) & J & (~J | I) & (H ^ ~J) & (~J | I) . What is H ?	(F & H) & (~J | I) & J & (H ^ ~J) . What is H ?	(F & H) & (~J | I) & J & (H ^ ~J)	True
(J <=> A) & (A & C) & (J <=> A) & A & (~B ^ J) & (A & C) & (~B ^ J) & (A & C) & (~B ^ J) & A & A . What is ~C ?	(J <=> A) & (A & C) & A & (~B ^ J) . What is ~C ?	(J <=> A) & (A & C) & A & (~B ^ J)	False
~H & (E <=> D) & (D <=> H) & ~H & (D <=> H) & (D <=> H) . What is ~H ?	~H & (E <=> D) & (D <=> H) . What is ~H ?	~H & (E <=> D) & (D <=> H)	True
(~H ^ ~E) & (~E & ~G) & (~E & ~G) & (~H ^ ~E) & (~G <=> F) & (~H ^ ~E) & (~G <=> F) . What is E ?	(~H ^ ~E) & (~E & ~G) & (~G <=> F) . What is E ?	(~H ^ ~E) & (~E & ~G) & (~G <=> F)	False
~I . What is ~I ?	~I . What is ~I ?	~I	True
I & (B & ~J) & (~H | B) & (~J ^ ~I) . What is I ?	I & (B & ~J) & (~H | B) & (~J ^ ~I) . What is I ?	I & (B & ~J) & (~H | B) & (~J ^ ~I)	True
(D ==> E) & D . What is E ?	(D ==> E) & D . What is E ?	(D ==> E) & D	True
I . What is I ?	I . What is I ?	I	True
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(~J & ~G) & (~J & ~G) & (E <=> D) & (~B ==> A) & (E <=> D) & (~B ==> A) & (~B ==> A) & (~J & ~G) & ~J & (D & ~B) & (D & ~B) & ~A & ~A & ~A . What is F ?	(~J & ~G) & (E <=> D) & (~B ==> A) & ~J & (D & ~B) & ~A . What is F ?	(~J & ~G) & (E <=> D) & (~B ==> A) & ~J & (D & ~B) & ~A	Contradictory
(~D ^ G) & A & (J | A) & ~D & A & (~D ^ G) & ~D . What is ~D ?	(~D ^ G) & A & (J | A) & ~D . What is ~D ?	(~D ^ G) & A & (J | A) & ~D	True
~I . What is ~I ?	~I . What is ~I ?	~I	True
(~J ^ G) & (~J ^ G) & (~H & E) & ~H & ~H & (~J ^ G) & G & ~H & G . What is H ?	(~J ^ G) & (~H & E) & ~H & G . What is H ?	(~J ^ G) & (~H & E) & ~H & G	False
C & C . What is C ?	C . What is C ?	C	True
H & H & H . What is ~H ?	H . What is ~H ?	H	False
(J ^ F) & (F & ~H) & (~A ==> ~E) & (J ^ F) & (J ^ F) & ~D & (F & ~H) & (~A ==> ~E) & (~G & J) & ~D & ~D & (F & ~H) . What is ~J ?	(J ^ F) & (F & ~H) & (~A ==> ~E) & ~D & (~G & J) . What is ~J ?	(J ^ F) & (F & ~H) & (~A ==> ~E) & ~D & (~G & J)	Contradictory
(~I | J) & (G | ~I) & (~I | J) & (G | ~I) & (G | ~I) & (J & C) & C & C . What is C ?	(~I | J) & (G | ~I) & (J & C) & C . What is C ?	(~I | J) & (G | ~I) & (J & C) & C	True
F & F & F & (~F | ~D) & (~D ==> H) & (~D ==> H) . What is D ?	F & (~F | ~D) & (~D ==> H) . What is D ?	F & (~F | ~D) & (~D ==> H)	False
A & A . What is ~A ?	A . What is ~A ?	A	False
(E & ~G) & (A & D) & G & (F ^ A) & (~B ^ F) & (~B ^ F) & ~D & G & G . What is A ?	(E & ~G) & (A & D) & G & (F ^ A) & (~B ^ F) & ~D . What is A ?	(E & ~G) & (A & D) & G & (F ^ A) & (~B ^ F) & ~D	Contradictory
~H & ~C & (H | ~I) & (~F & H) & (~F & H) & ~C & (G <=> B) & (G <=> B) . What is ~I ?	~H & ~C & (H | ~I) & (~F & H) & (G <=> B) . What is ~I ?	~H & ~C & (H | ~I) & (~F & H) & (G <=> B)	Contradictory
~D & (~G & F) & (F ^ ~H) & (~I & E) & (~I & E) & (~I & E) . What is ~H ?	~D & (~G & F) & (F ^ ~H) & (~I & E) . What is ~H ?	~D & (~G & F) & (F ^ ~H) & (~I & E)	False
A & A . What is ~B ?	A . What is ~B ?	A	Unknown HELP!
(~G <=> A) & (~D <=> ~G) & (~J & ~D) & (~J & ~D) & (~D <=> ~G) & (~G <=> A) . What is A ?	(~G <=> A) & (~D <=> ~G) & (~J & ~D) . What is A ?	(~G <=> A) & (~D <=> ~G) & (~J & ~D)	True
~F & (~H <=> F) & (F ^ I) & (F ^ I) & ~F & ~F . What is ~F ?	~F & (~H <=> F) & (F ^ I) . What is ~F ?	~F & (~H <=> F) & (F ^ I)	True
~I & ~H & ~H & ~H & (H ^ ~D) & (H ^ ~D) & (~E ==> I) & (H ^ ~D) & (~E ==> I) & (~E ==> I) . What is ~H ?	~I & ~H & (H ^ ~D) & (~E ==> I) . What is ~H ?	~I & ~H & (H ^ ~D) & (~E ==> I)	True
(~F | ~C) & (~D & ~F) & (~D & ~F) & (~D & ~F) & (~F | ~C) & (~F | ~C) . What is D ?	(~F | ~C) & (~D & ~F) . What is D ?	(~F | ~C) & (~D & ~F)	False
(G ==> ~E) & (G ==> ~E) & (~I ==> G) & I & (~I ==> G) & (A <=> ~I) & (A <=> ~I) . What is ~A ?	(G ==> ~E) & (~I ==> G) & I & (A <=> ~I) . What is ~A ?	(G ==> ~E) & (~I ==> G) & I & (A <=> ~I)	True
~I . What is E ?	~I . What is E ?	~I	Unknown HELP!
A & A . What is A ?	A . What is A ?	A	True
(~A & ~I) & ~E & (J ^ ~B) & (J ^ ~B) . What is I ?	(~A & ~I) & ~E & (J ^ ~B) . What is I ?	(~A & ~I) & ~E & (J ^ ~B)	False
(~A ==> D) & B & B & (~F ^ I) & C & C & C . What is B ?	(~A ==> D) & B & (~F ^ I) & C . What is B ?	(~A ==> D) & B & (~F ^ I) & C	True
~H & ~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
J . What is J ?	J . What is J ?	J	True
(H & ~J) & ~B & (~G ^ B) & (D | A) & (H & ~J) & (A & H) & A & (~G ^ B) & (D | A) . What is J ?	(H & ~J) & ~B & (~G ^ B) & (D | A) & (A & H) & A . What is J ?	(H & ~J) & ~B & (~G ^ B) & (D | A) & (A & H) & A	False
E & E & E . What is ~E ?	E . What is ~E ?	E	False
D & D & (A | D) & (D <=> ~G) & D & (D <=> ~G) & (A | D) & (A | D) & (D <=> ~G) . What is ~D ?	D & (A | D) & (D <=> ~G) . What is ~D ?	D & (A | D) & (D <=> ~G)	False
(I <=> ~H) & (~H | B) & ~D & ~I & (~D ==> E) & ~I & (~H | B) & ~D & (~D ==> E) & (~J ==> I) & (~J ==> I) . What is ~B ?	(I <=> ~H) & (~H | B) & ~D & ~I & (~D ==> E) & (~J ==> I) . What is ~B ?	(I <=> ~H) & (~H | B) & ~D & ~I & (~D ==> E) & (~J ==> I)	False
I & (B ^ ~I) & (B ^ ~I) & (C & B) & (B ^ ~I) & (C & B) & I & (C & B) & I . What is ~I ?	I & (B ^ ~I) & (C & B) . What is ~I ?	I & (B ^ ~I) & (C & B)	False
D . What is ~D ?	D . What is ~D ?	D	False
~F & ~F & ~F . What is F ?	~F . What is F ?	~F	False
~C & ~C & (~D ==> ~I) & (~E & ~G) & (~D ==> ~I) & (~E & ~G) . What is ~E ?	~C & (~D ==> ~I) & (~E & ~G) . What is ~E ?	~C & (~D ==> ~I) & (~E & ~G)	True
(~H ^ F) & (~C <=> ~J) & (B <=> ~C) & (~H ^ F) & ~F & (~C <=> ~J) & (~H ^ F) & (~C <=> ~J) & ~C & ~F & ~C & ~F . What is ~C ?	(~H ^ F) & (~C <=> ~J) & (B <=> ~C) & ~F & ~C . What is ~C ?	(~H ^ F) & (~C <=> ~J) & (B <=> ~C) & ~F & ~C	True
A & A & A . What is ~A ?	A . What is ~A ?	A	False
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
(G <=> A) & (~C & ~I) & (~C & ~I) & ~C & (G <=> A) & (~E & G) & (~E & G) & (~E & G) & ~C & ~C . What is ~A ?	(G <=> A) & (~C & ~I) & ~C & (~E & G) . What is ~A ?	(G <=> A) & (~C & ~I) & ~C & (~E & G)	False
(D & I) & F & (~F <=> ~H) & (~H <=> B) & A & A & F & (~F <=> ~H) & (~F <=> ~H) . What is H ?	(D & I) & F & (~F <=> ~H) & (~H <=> B) & A . What is H ?	(D & I) & F & (~F <=> ~H) & (~H <=> B) & A	True
(~J & D) & (~J & D) & (F ==> I) & (D & F) & (F ==> I) & (F ==> I) . What is ~D ?	(~J & D) & (F ==> I) & (D & F) . What is ~D ?	(~J & D) & (F ==> I) & (D & F)	False
F & F . What is ~F ?	F . What is ~F ?	F	False
~E . What is ~F ?	~E . What is ~F ?	~E	Unknown HELP!
A . What is ~A ?	A . What is ~A ?	A	False
(~D ^ H) & (~D ^ H) & (~D ^ H) & D & D . What is ~H ?	(~D ^ H) & D . What is ~H ?	(~D ^ H) & D	False
~D . What is D ?	~D . What is D ?	~D	False
(~F ==> C) & ~G & (~F ==> C) & (J & ~B) & (J & ~B) & (J & ~B) & ~G . What is ~J ?	(~F ==> C) & ~G & (J & ~B) . What is ~J ?	(~F ==> C) & ~G & (J & ~B)	False
(~C <=> H) & (F & ~D) & (~C <=> H) & G & G & ~H & ~H & ~H & (F & ~D) . What is ~D ?	(~C <=> H) & (F & ~D) & G & ~H . What is ~D ?	(~C <=> H) & (F & ~D) & G & ~H	True
~I & (J & I) & (J & I) & (J & I) . What is ~I ?	~I & (J & I) . What is ~I ?	~I & (J & I)	Contradictory
E & (~C & ~B) & (~E ==> ~C) & (~C & ~B) & (~E ==> ~C) & E & E & (~C & ~B) . What is B ?	E & (~C & ~B) & (~E ==> ~C) . What is B ?	E & (~C & ~B) & (~E ==> ~C)	False
(~H <=> ~I) & (~H <=> ~I) & (~H <=> ~I) & ~D & (B ^ ~H) & (B ^ ~H) & (~I ^ ~A) & ~D & (~I ^ ~A) & ~D . What is D ?	(~H <=> ~I) & ~D & (B ^ ~H) & (~I ^ ~A) . What is D ?	(~H <=> ~I) & ~D & (B ^ ~H) & (~I ^ ~A)	False
~I & (~I ^ ~J) & ~I & (A <=> F) & (A <=> F) & (~I ^ ~J) & (A <=> F) & ~F . What is ~J ?	~I & (~I ^ ~J) & (A <=> F) & ~F . What is ~J ?	~I & (~I ^ ~J) & (A <=> F) & ~F	False
~I & ~I & (B & ~H) & ~I & (~I <=> B) & (B & ~H) & (~I <=> B) . What is ~B ?	~I & (B & ~H) & (~I <=> B) . What is ~B ?	~I & (B & ~H) & (~I <=> B)	False
(~G ==> H) & (H & ~A) & (H & ~A) & (~G ==> H) & (~G ==> H) & E & (H & ~A) & (~E | ~B) & C & (~E | ~B) . What is ~A ?	(~G ==> H) & (H & ~A) & E & (~E | ~B) & C . What is ~A ?	(~G ==> H) & (H & ~A) & E & (~E | ~B) & C	True
C & (H ==> ~F) & (H ==> ~F) & ~I & (~B ^ ~C) & (D ^ ~B) & (~B ^ ~C) & (~B ^ ~C) & (D ^ ~B) & (D ^ ~B) . What is B ?	C & (H ==> ~F) & ~I & (~B ^ ~C) & (D ^ ~B) . What is B ?	C & (H ==> ~F) & ~I & (~B ^ ~C) & (D ^ ~B)	False
~G & (~C & ~H) & ~J & (~G <=> ~E) & (~G <=> ~E) & (~G <=> ~E) & (~C & ~H) . What is ~J ?	~G & (~C & ~H) & ~J & (~G <=> ~E) . What is ~J ?	~G & (~C & ~H) & ~J & (~G <=> ~E)	True
(~A ==> C) & (~J ==> ~A) & (~A ==> C) & (H | ~J) & ~B & (H | ~J) & (H | ~J) & (~J ==> ~A) . What is ~B ?	(~A ==> C) & (~J ==> ~A) & (H | ~J) & ~B . What is ~B ?	(~A ==> C) & (~J ==> ~A) & (H | ~J) & ~B	True
(~E ==> F) & (~E ==> F) & (~B & ~E) & (~B & ~E) & ~F & ~F & (F ==> A) & ~F & (~E ==> F) . What is ~E ?	(~E ==> F) & (~B & ~E) & ~F & (F ==> A) . What is ~E ?	(~E ==> F) & (~B & ~E) & ~F & (F ==> A)	Contradictory
A & (F ==> G) & (~A & H) & (~A & H) & A & A & (F ==> G) & (~I ==> F) & (~I ==> F) & (~I ==> F) . What is ~D ?	A & (F ==> G) & (~A & H) & (~I ==> F) . What is ~D ?	A & (F ==> G) & (~A & H) & (~I ==> F)	Contradictory
B & B . What is ~B ?	B . What is ~B ?	B	False
G & G & G . What is ~G ?	G . What is ~G ?	G	False
