(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
(H & ~A) & ~J & (~A ^ ~G) & (~A ^ ~G) & (~A ^ ~G) . What is H ?	(H & ~A) & ~J & (~A ^ ~G) . What is H ?	(H & ~A) & ~J & (~A ^ ~G)	True
(~D | ~C) & ~D & (~H <=> G) & G & G . What is D ?	(~D | ~C) & ~D & (~H <=> G) & G . What is D ?	(~D | ~C) & ~D & (~H <=> G) & G	False
J & (D <=> H) & (D <=> H) & (D <=> H) & (~F & G) & ~F & (~F & G) & ~F & (~C <=> ~F) & (~F & G) & ~F . What is ~G ?	J & (D <=> H) & (~F & G) & ~F & (~C <=> ~F) . What is ~G ?	J & (D <=> H) & (~F & G) & ~F & (~C <=> ~F)	False
(E <=> B) & (E <=> B) & (I <=> ~G) & (B & I) & (I <=> ~G) & (E <=> B) . What is ~I ?	(E <=> B) & (I <=> ~G) & (B & I) . What is ~I ?	(E <=> B) & (I <=> ~G) & (B & I)	False
(~D ==> ~G) & (~B & ~D) & D & (~D ==> ~G) & (~D ==> ~G) & (~G & C) . What is A ?	(~D ==> ~G) & (~B & ~D) & D & (~G & C) . What is A ?	(~D ==> ~G) & (~B & ~D) & D & (~G & C)	Contradictory
(F <=> J) & (~A ==> F) & (~A ==> F) & (~A ==> F) & (F <=> J) & (E ^ ~A) & ~E & ~E . What is ~E ?	(F <=> J) & (~A ==> F) & (E ^ ~A) & ~E . What is ~E ?	(F <=> J) & (~A ==> F) & (E ^ ~A) & ~E	True
~G & ~G . What is G ?	~G . What is G ?	~G	False
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
(A ^ ~B) & (A ^ ~B) & (~B & E) & (~B & E) & (~B & E) . What is A ?	(A ^ ~B) & (~B & E) . What is A ?	(A ^ ~B) & (~B & E)	False
(H & G) & (~B <=> H) & (~B <=> H) & (H & G) & ~H & (~B <=> H) & ~H & ~H . What is B ?	(H & G) & (~B <=> H) & ~H . What is B ?	(H & G) & (~B <=> H) & ~H	Contradictory
~D & ~D & (~G ^ ~D) & (~D | I) & (~G ^ ~D) & (~D | I) & (~G ^ ~D) . What is D ?	~D & (~G ^ ~D) & (~D | I) . What is D ?	~D & (~G ^ ~D) & (~D | I)	False
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(~C & ~F) & (~J & D) & (~C & ~F) & (D <=> ~B) & ~I & (~J & D) & ~I & (~J & D) & (~B ^ ~I) & ~C & (D <=> ~B) . What is D ?	(~C & ~F) & (~J & D) & (D <=> ~B) & ~I & (~B ^ ~I) & ~C . What is D ?	(~C & ~F) & (~J & D) & (D <=> ~B) & ~I & (~B ^ ~I) & ~C	Contradictory
(E | J) & H & ~C & (B & D) & ~C & (~H ^ B) & ~C & H & H . What is ~H ?	(E | J) & H & ~C & (B & D) & (~H ^ B) . What is ~H ?	(E | J) & H & ~C & (B & D) & (~H ^ B)	False
 . What is C ?	 . What is C ?		Unknown HELP!
(B | ~D) & (C | A) & D & D & (~H & C) & (~H & C) & (B | ~D) & (C | A) & (C | A) & (J ==> ~H) & (J ==> ~H) & (B | ~D) & (J ==> ~H) . What is ~C ?	(B | ~D) & (C | A) & D & (~H & C) & (J ==> ~H) . What is ~C ?	(B | ~D) & (C | A) & D & (~H & C) & (J ==> ~H)	False
~I & (I ^ ~H) & ~A & (~J <=> A) & ~A & (I ^ ~H) & (~J <=> A) & (~J <=> A) & (I ^ ~H) . What is C ?	~I & (I ^ ~H) & ~A & (~J <=> A) . What is C ?	~I & (I ^ ~H) & ~A & (~J <=> A)	Unknown HELP!
H & H & H . What is ~H ?	H . What is ~H ?	H	False
D . What is ~D ?	D . What is ~D ?	D	False
(I & ~B) & (~B & ~C) & (I & ~B) & (~B & ~C) & (~B & ~C) . What is ~B ?	(I & ~B) & (~B & ~C) . What is ~B ?	(I & ~B) & (~B & ~C)	True
~C & (E & A) & (B ^ D) & (~J | ~F) & (D & ~J) & F & ~C & F & F & (~J | ~F) & (~J | ~F) & (B ^ D) . What is D ?	~C & (E & A) & (B ^ D) & (~J | ~F) & (D & ~J) & F . What is D ?	~C & (E & A) & (B ^ D) & (~J | ~F) & (D & ~J) & F	True
~C & (~C <=> ~D) & (~C <=> ~D) & (E ^ ~C) & B & ~C & (~H ^ E) & (~A | ~B) & (~A | ~B) & (~C <=> ~D) & B & B . What is E ?	~C & (~C <=> ~D) & (E ^ ~C) & B & (~H ^ E) & (~A | ~B) . What is E ?	~C & (~C <=> ~D) & (E ^ ~C) & B & (~H ^ E) & (~A | ~B)	False
F & (B ^ ~F) & (H <=> C) & (C | B) & F & F & (H <=> C) & (H <=> C) . What is B ?	F & (B ^ ~F) & (H <=> C) & (C | B) . What is B ?	F & (B ^ ~F) & (H <=> C) & (C | B)	True
(~J & A) & (~J & A) & ~D & (I & ~J) & (I & ~J) & (I & ~J) . What is ~J ?	(~J & A) & ~D & (I & ~J) . What is ~J ?	(~J & A) & ~D & (I & ~J)	True
(I | B) & (E <=> F) & (F ^ I) & (F ^ I) & (E <=> F) & C . What is ~C ?	(I | B) & (E <=> F) & (F ^ I) & C . What is ~C ?	(I | B) & (E <=> F) & (F ^ I) & C	False
(~F ==> A) & (A <=> ~G) & F & (A <=> ~G) & (~F ==> A) & (~F ==> A) . What is ~F ?	(~F ==> A) & (A <=> ~G) & F . What is ~F ?	(~F ==> A) & (A <=> ~G) & F	False
~I & (~H & I) & (C ^ J) & E & E & ~I & ~I & E . What is ~E ?	~I & (~H & I) & (C ^ J) & E . What is ~E ?	~I & (~H & I) & (C ^ J) & E	Contradictory
I & I & I & (I <=> ~C) & (~C & F) & (~C & F) & (~C & F) & (I <=> ~C) . What is ~F ?	I & (I <=> ~C) & (~C & F) . What is ~F ?	I & (I <=> ~C) & (~C & F)	False
(~B <=> ~C) & (J <=> ~B) & (H | A) & ~H & (~B <=> ~C) & ~H & ~H & J & J . What is ~C ?	(~B <=> ~C) & (J <=> ~B) & (H | A) & ~H & J . What is ~C ?	(~B <=> ~C) & (J <=> ~B) & (H | A) & ~H & J	True
C . What is ~C ?	C . What is ~C ?	C	False
I & I & (~H ==> ~D) & I & (E | ~J) & (E | ~J) & (~J <=> A) & (~J <=> A) & (~B ==> E) & ~A & (~J <=> A) & ~A & ~A . What is ~E ?	I & (~H ==> ~D) & (E | ~J) & (~J <=> A) & (~B ==> E) & ~A . What is ~E ?	I & (~H ==> ~D) & (E | ~J) & (~J <=> A) & (~B ==> E) & ~A	False
(~H & ~G) & (C <=> ~E) & ~C & (~D | ~H) & (C <=> ~E) & (~H & ~G) & (C <=> ~E) & ~C . What is H ?	(~H & ~G) & (C <=> ~E) & ~C & (~D | ~H) . What is H ?	(~H & ~G) & (C <=> ~E) & ~C & (~D | ~H)	False
(~I | D) & (D ^ ~J) & (~J | ~A) & ~J & (~J | ~A) & (D ^ ~J) & (~J | ~A) & ~J & ~J . What is ~J ?	(~I | D) & (D ^ ~J) & (~J | ~A) & ~J . What is ~J ?	(~I | D) & (D ^ ~J) & (~J | ~A) & ~J	True
(I <=> E) & (I <=> E) & (I <=> E) & (~F ==> A) & ~D & ~D & ~D . What is C ?	(I <=> E) & (~F ==> A) & ~D . What is C ?	(I <=> E) & (~F ==> A) & ~D	Unknown HELP!
(~D & ~A) & (~E <=> C) & (~E <=> C) & (~D & ~A) & (~A <=> ~E) & (~A <=> ~E) & (~A <=> ~E) & (~E <=> C) & (~D & ~A) . What is ~E ?	(~D & ~A) & (~E <=> C) & (~A <=> ~E) . What is ~E ?	(~D & ~A) & (~E <=> C) & (~A <=> ~E)	True
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(F & ~J) & (G & F) & (G & F) & (G & F) & (~J <=> C) & (~J <=> C) . What is ~C ?	(F & ~J) & (G & F) & (~J <=> C) . What is ~C ?	(F & ~J) & (G & F) & (~J <=> C)	False
(~C ==> J) & (~B | ~D) & (~C ==> J) & (J & ~B) & (~B | ~D) . What is ~B ?	(~C ==> J) & (~B | ~D) & (J & ~B) . What is ~B ?	(~C ==> J) & (~B | ~D) & (J & ~B)	True
A & (~I | ~C) & (~I | ~C) & (~I | ~C) & A & ~G & ~G & (D ==> ~I) & ~G & (~F | ~B) & (~F | ~B) . What is A ?	A & (~I | ~C) & ~G & (D ==> ~I) & (~F | ~B) . What is A ?	A & (~I | ~C) & ~G & (D ==> ~I) & (~F | ~B)	True
E & E & E . What is E ?	E . What is E ?	E	True
(~G ==> ~C) & C & (~J ^ D) & (~J ^ D) & (~G ==> ~C) & C & (~C ^ ~J) & (~C ^ ~J) & (~C ^ ~J) . What is C ?	(~G ==> ~C) & C & (~J ^ D) & (~C ^ ~J) . What is C ?	(~G ==> ~C) & C & (~J ^ D) & (~C ^ ~J)	True
G . What is H ?	G . What is H ?	G	Unknown HELP!
J & ~G & ~G & (~A <=> ~J) & (~C ^ ~H) & (~C ^ ~H) & (~G | ~B) & (~C ^ ~H) & ~G & (~G | ~B) & (~H ^ ~A) & (~H ^ ~A) & (~H ^ ~A) . What is ~A ?	J & ~G & (~A <=> ~J) & (~C ^ ~H) & (~G | ~B) & (~H ^ ~A) . What is ~A ?	J & ~G & (~A <=> ~J) & (~C ^ ~H) & (~G | ~B) & (~H ^ ~A)	False
(~D ^ ~J) & (~J | ~H) & (~J | ~H) & (~D ^ ~J) & ~D & ~D . What is J ?	(~D ^ ~J) & (~J | ~H) & ~D . What is J ?	(~D ^ ~J) & (~J | ~H) & ~D	True
H . What is H ?	H . What is H ?	H	True
~J & ~J . What is J ?	~J . What is J ?	~J	False
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(~I | H) & (C & ~F) & (~I | H) & ~H & (C & ~F) & ~H & ~J & ~J & (C & ~F) . What is ~J ?	(~I | H) & (C & ~F) & ~H & ~J . What is ~J ?	(~I | H) & (C & ~F) & ~H & ~J	True
(B ^ J) & (B ^ J) & (~I & B) & (~I & B) & (~I & B) & (J ^ ~H) & (J ^ ~H) & (J ^ ~H) . What is J ?	(B ^ J) & (~I & B) & (J ^ ~H) . What is J ?	(B ^ J) & (~I & B) & (J ^ ~H)	False
~C . What is ~C ?	~C . What is ~C ?	~C	True
(E ^ D) & B & (D | ~I) & B & (~J & E) & (~J & E) . What is ~D ?	(E ^ D) & B & (D | ~I) & (~J & E) . What is ~D ?	(E ^ D) & B & (D | ~I) & (~J & E)	True
A . What is A ?	A . What is A ?	A	True
(~F <=> D) & (~C ^ A) & (~C ^ A) & (G ==> ~F) & (~B <=> G) & (~B <=> G) & (~F <=> D) & (~F <=> D) & A & (~B <=> G) . What is G ?	(~F <=> D) & (~C ^ A) & (G ==> ~F) & (~B <=> G) & A . What is G ?	(~F <=> D) & (~C ^ A) & (G ==> ~F) & (~B <=> G) & A	Unknown HELP!
(~G & J) & (~G & J) & (~C | ~E) & (~C | ~E) & (~C | ~E) & (~E <=> ~G) . What is E ?	(~G & J) & (~C | ~E) & (~E <=> ~G) . What is E ?	(~G & J) & (~C | ~E) & (~E <=> ~G)	False
(~F | ~E) & H & (~F | ~E) & H & (~B ==> J) & (~H | ~F) & (~H | ~F) & (~H | ~F) & ~G & ~G & ~G . What is F ?	(~F | ~E) & H & (~B ==> J) & (~H | ~F) & ~G . What is F ?	(~F | ~E) & H & (~B ==> J) & (~H | ~F) & ~G	False
(~D ^ ~F) & (~D ^ ~F) & (~F | ~I) & (H ==> ~A) & H & H & (~D ^ ~F) . What is F ?	(~D ^ ~F) & (~F | ~I) & (H ==> ~A) & H . What is F ?	(~D ^ ~F) & (~F | ~I) & (H ==> ~A) & H	Unknown HELP!
(~D ==> J) & (A <=> ~D) & (I <=> A) & ~E & ~E & ~J & (~D ==> J) & (I <=> A) & (A <=> ~D) & (A <=> ~D) & (~D ==> J) & ~E & (~C ==> E) & (~C ==> E) & (~C ==> E) . What is ~J ?	(~D ==> J) & (A <=> ~D) & (I <=> A) & ~E & ~J & (~C ==> E) . What is ~J ?	(~D ==> J) & (A <=> ~D) & (I <=> A) & ~E & ~J & (~C ==> E)	True
~B & ~B . What is B ?	~B . What is B ?	~B	False
(~A & ~D) & (~D ^ ~J) & G & (~D ^ ~J) & (~D ^ ~J) . What is G ?	(~A & ~D) & (~D ^ ~J) & G . What is G ?	(~A & ~D) & (~D ^ ~J) & G	True
(~D ==> F) & (~J & ~C) & (E ==> ~I) & (E ==> ~I) & ~D & ~D & (~C ^ E) & (~C ^ E) & (~C ^ E) & ~D . What is ~C ?	(~D ==> F) & (~J & ~C) & (E ==> ~I) & ~D & (~C ^ E) . What is ~C ?	(~D ==> F) & (~J & ~C) & (E ==> ~I) & ~D & (~C ^ E)	True
(~A & B) & (F & I) & (B ==> F) & (B ==> F) & (~A & B) & (B ==> F) & (~A & B) . What is ~B ?	(~A & B) & (F & I) & (B ==> F) . What is ~B ?	(~A & B) & (F & I) & (B ==> F)	False
(~G | C) & (H & ~G) & (H & ~G) & (C ^ ~B) & ~H & ~H & ~H . What is ~B ?	(~G | C) & (H & ~G) & (C ^ ~B) & ~H . What is ~B ?	(~G | C) & (H & ~G) & (C ^ ~B) & ~H	Contradictory
(E & ~F) & ~E & (I ^ ~A) & (I ^ ~A) & (I ^ ~A) & I & (E & ~F) . What is ~A ?	(E & ~F) & ~E & (I ^ ~A) & I . What is ~A ?	(E & ~F) & ~E & (I ^ ~A) & I	Contradictory
(B & J) & (B & J) & (F & B) & (F & B) . What is F ?	(B & J) & (F & B) . What is F ?	(B & J) & (F & B)	True
~E & (~E & ~D) & (~A ==> C) & (~A ==> C) & ~I & ~I . What is I ?	~E & (~E & ~D) & (~A ==> C) & ~I . What is I ?	~E & (~E & ~D) & (~A ==> C) & ~I	False
B . What is ~B ?	B . What is ~B ?	B	False
B & (~A ^ ~I) & (~I <=> E) & B & (~A ^ ~I) & (~B ==> D) & (~B ==> D) & (~B ==> D) & ~A . What is ~I ?	B & (~A ^ ~I) & (~I <=> E) & (~B ==> D) & ~A . What is ~I ?	B & (~A ^ ~I) & (~I <=> E) & (~B ==> D) & ~A	False
(E ==> ~H) & C & (E ==> ~H) & (E ==> ~H) . What is ~C ?	(E ==> ~H) & C . What is ~C ?	(E ==> ~H) & C	False
(D <=> C) & C & C & (G <=> D) & (G <=> D) & (D <=> C) & (D <=> C) & C . What is ~G ?	(D <=> C) & C & (G <=> D) . What is ~G ?	(D <=> C) & C & (G <=> D)	False
~F & ~F & ~F . What is F ?	~F . What is F ?	~F	False
I & I & I & (G & J) . What is G ?	I & (G & J) . What is G ?	I & (G & J)	True
(~F & ~A) & (~F & ~A) & (~G ^ B) & (~F & ~A) & (~G ^ B) & (~A <=> ~G) . What is B ?	(~F & ~A) & (~G ^ B) & (~A <=> ~G) . What is B ?	(~F & ~A) & (~G ^ B) & (~A <=> ~G)	False
(~D & A) & (A ==> H) & ~B & I & (B ==> ~D) & (~D & A) & I & (~D & A) & (J | ~E) . What is A ?	(~D & A) & (A ==> H) & ~B & I & (B ==> ~D) & (J | ~E) . What is A ?	(~D & A) & (A ==> H) & ~B & I & (B ==> ~D) & (J | ~E)	True
~C & ~C & ~C . What is C ?	~C . What is C ?	~C	False
(~E ^ ~D) & (H | ~F) & (~I | G) & (~I | G) & J & (~I | G) & (~F & ~E) & ~H & ~H & ~H & (~E ^ ~D) & (~F & ~E) & (~E ^ ~D) & (~F & ~E) . What is H ?	(~E ^ ~D) & (H | ~F) & (~I | G) & J & (~F & ~E) & ~H . What is H ?	(~E ^ ~D) & (H | ~F) & (~I | G) & J & (~F & ~E) & ~H	False
(~J ^ ~E) & (~E ==> C) & ~C & (~J ^ ~E) & ~C & ~C & (~J ^ ~E) . What is ~C ?	(~J ^ ~E) & (~E ==> C) & ~C . What is ~C ?	(~J ^ ~E) & (~E ==> C) & ~C	True
~C & (~A <=> G) & B & (G ^ B) & (H & ~C) & (B <=> D) & (~A <=> G) & (H & ~C) & (B <=> D) & (~A <=> G) & (H & ~C) & (B <=> D) & ~C & ~C & B . What is ~B ?	~C & (~A <=> G) & B & (G ^ B) & (H & ~C) & (B <=> D) . What is ~B ?	~C & (~A <=> G) & B & (G ^ B) & (H & ~C) & (B <=> D)	False
(~J <=> A) & F & F & (~J <=> A) & F & (~F ^ ~J) & (A ^ H) & (A ^ H) & (~F ^ ~J) & (~F ^ ~J) . What is F ?	(~J <=> A) & F & (~F ^ ~J) & (A ^ H) . What is F ?	(~J <=> A) & F & (~F ^ ~J) & (A ^ H)	True
E & (H | I) & (H | I) & D & (~A ==> G) & D & E & (~A ==> G) & E & (~A ==> G) & D . What is D ?	E & (H | I) & D & (~A ==> G) . What is D ?	E & (H | I) & D & (~A ==> G)	True
(F & A) & (F & A) & G & (H | C) & (~J <=> G) & (H | C) & (F & A) & G & (H | C) & (~J <=> G) & (C ^ F) & (C ^ F) & (C ^ F) . What is ~F ?	(F & A) & G & (H | C) & (~J <=> G) & (C ^ F) . What is ~F ?	(F & A) & G & (H | C) & (~J <=> G) & (C ^ F)	False
(D & J) & (D & J) & (D & J) & B & B . What is ~D ?	(D & J) & B . What is ~D ?	(D & J) & B	False
(~B & ~C) & (J <=> ~I) & (~I & ~H) & ~B & ~B & (~I & ~H) & (J <=> ~I) & (J <=> ~I) . What is H ?	(~B & ~C) & (J <=> ~I) & (~I & ~H) & ~B . What is H ?	(~B & ~C) & (J <=> ~I) & (~I & ~H) & ~B	False
I & I & I . What is I ?	I . What is I ?	I	True
(~G <=> F) & (~E & ~A) & (F & ~E) & (~G <=> F) & (F & ~E) & (~G <=> F) . What is ~G ?	(~G <=> F) & (~E & ~A) & (F & ~E) . What is ~G ?	(~G <=> F) & (~E & ~A) & (F & ~E)	True
D & (~G & ~C) & (~G & ~C) & D & D . What is ~D ?	D & (~G & ~C) . What is ~D ?	D & (~G & ~C)	False
(~J & B) & (~J & B) & (F & ~A) & ~F & ~F & ~F & (~J & B) . What is ~B ?	(~J & B) & (F & ~A) & ~F . What is ~B ?	(~J & B) & (F & ~A) & ~F	Contradictory
(J & ~G) & ~J & (J & ~G) & (~D | A) & (~D | A) & (~D | A) . What is D ?	(J & ~G) & ~J & (~D | A) . What is D ?	(J & ~G) & ~J & (~D | A)	Contradictory
~B . What is B ?	~B . What is B ?	~B	False
~C . What is C ?	~C . What is C ?	~C	False
B . What is ~B ?	B . What is ~B ?	B	False
~A . What is A ?	~A . What is A ?	~A	False
~C & (I & G) & (~C | I) & ~C & (~C | I) & (I & G) & (~C | I) & ~C & (I & G) . What is ~G ?	~C & (I & G) & (~C | I) . What is ~G ?	~C & (I & G) & (~C | I)	False
J & J & J . What is J ?	J . What is J ?	J	True
(~E & G) & ~G & (~A ==> ~D) & B & B & B & (~A ==> ~D) & (~A ==> ~D) . What is B ?	(~E & G) & ~G & (~A ==> ~D) & B . What is B ?	(~E & G) & ~G & (~A ==> ~D) & B	Contradictory
F & F . What is ~F ?	F . What is ~F ?	F	False
E . What is E ?	E . What is E ?	E	True
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
~E & ~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
(~A ==> ~C) & ~H & (~J | H) & (~C & B) & ~H & (~A ==> ~C) & ~H & (~J | H) & (G | ~A) . What is C ?	(~A ==> ~C) & ~H & (~J | H) & (~C & B) & (G | ~A) . What is C ?	(~A ==> ~C) & ~H & (~J | H) & (~C & B) & (G | ~A)	False
(E ^ D) & (~C <=> E) & C & (E ^ D) & (~C <=> E) & C & (~C <=> E) & C . What is ~D ?	(E ^ D) & (~C <=> E) & C . What is ~D ?	(E ^ D) & (~C <=> E) & C	False
~H & ~H . What is H ?	~H . What is H ?	~H	False
(J | I) & ~F & (~F <=> D) & (~F <=> D) & (~F <=> D) & (~C & ~H) & (~C & ~H) & (~H <=> J) . What is ~H ?	(J | I) & ~F & (~F <=> D) & (~C & ~H) & (~H <=> J) . What is ~H ?	(J | I) & ~F & (~F <=> D) & (~C & ~H) & (~H <=> J)	True
~E & (E & ~A) & (~F <=> E) & (E & ~A) & (~J & ~C) & (~J & ~C) & (~J & ~C) & B . What is ~F ?	~E & (E & ~A) & (~F <=> E) & (~J & ~C) & B . What is ~F ?	~E & (E & ~A) & (~F <=> E) & (~J & ~C) & B	Contradictory
(A | ~H) & (C & A) & B & B . What is ~A ?	(A | ~H) & (C & A) & B . What is ~A ?	(A | ~H) & (C & A) & B	False
(J <=> ~H) & ~I & ~I & (~G | D) & (~G | D) & ~I & (C | J) & ~B & (~B & C) & (~B & C) & ~B & (~G | D) & (~B & C) . What is B ?	(J <=> ~H) & ~I & (~G | D) & (C | J) & ~B & (~B & C) . What is B ?	(J <=> ~H) & ~I & (~G | D) & (C | J) & ~B & (~B & C)	False
(H & ~G) & C & C & (H & ~G) & C & (F <=> ~D) & (~J ==> F) & (~D <=> ~C) & B & B . What is ~D ?	(H & ~G) & C & (F <=> ~D) & (~J ==> F) & (~D <=> ~C) & B . What is ~D ?	(H & ~G) & C & (F <=> ~D) & (~J ==> F) & (~D <=> ~C) & B	False
~B & (F | G) & (G ==> ~E) & (G ==> ~E) & (F | G) & ~F & (J | ~C) & (J | ~C) & ~B & (J | ~C) . What is E ?	~B & (F | G) & (G ==> ~E) & ~F & (J | ~C) . What is E ?	~B & (F | G) & (G ==> ~E) & ~F & (J | ~C)	False
(~E | H) & (A | C) & (J & B) & ~C & ~C & (A | C) & (~E | H) & ~C & (B ^ ~E) . What is ~B ?	(~E | H) & (A | C) & (J & B) & ~C & (B ^ ~E) . What is ~B ?	(~E | H) & (A | C) & (J & B) & ~C & (B ^ ~E)	False
C & C . What is ~C ?	C . What is ~C ?	C	False
F . What is F ?	F . What is F ?	F	True
~B & ~B . What is I ?	~B . What is I ?	~B	Unknown HELP!
C & A & C & A & (J | ~A) & (~G ^ J) & C & A & (~G ^ J) & (I ^ C) & (J | ~A) & (J | ~A) . What is A ?	C & A & (J | ~A) & (~G ^ J) & (I ^ C) . What is A ?	C & A & (J | ~A) & (~G ^ J) & (I ^ C)	True
(~F <=> J) & J & (~I & ~F) & (~I & ~F) & (J | E) & (~I & ~F) & J . What is ~F ?	(~F <=> J) & J & (~I & ~F) & (J | E) . What is ~F ?	(~F <=> J) & J & (~I & ~F) & (J | E)	True
(C <=> ~J) & ~D & (~E <=> ~D) & (C <=> ~J) & (C <=> ~J) & ~D & (~B & C) & (~B & C) & ~D & (~B & C) . What is ~C ?	(C <=> ~J) & ~D & (~E <=> ~D) & (~B & C) . What is ~C ?	(C <=> ~J) & ~D & (~E <=> ~D) & (~B & C)	False
~A & ~A & ~A . What is ~A ?	~A . What is ~A ?	~A	True
~H & ~H & (~H & A) & (~H & A) . What is ~A ?	~H & (~H & A) . What is ~A ?	~H & (~H & A)	False
(~J & I) & (~J & I) . What is I ?	(~J & I) . What is I ?	(~J & I)	True
J & F & (~C <=> G) & F & (D | ~F) . What is ~D ?	J & F & (~C <=> G) & (D | ~F) . What is ~D ?	J & F & (~C <=> G) & (D | ~F)	False
(D & ~A) & ~E & (D & ~A) & ~E & (J ^ E) & (J ^ E) . What is ~A ?	(D & ~A) & ~E & (J ^ E) . What is ~A ?	(D & ~A) & ~E & (J ^ E)	True
(~I <=> ~B) & (~F ==> ~H) & (~H ^ ~I) & E & (~H ^ ~I) & (~I <=> ~B) . What is ~E ?	(~I <=> ~B) & (~F ==> ~H) & (~H ^ ~I) & E . What is ~E ?	(~I <=> ~B) & (~F ==> ~H) & (~H ^ ~I) & E	False
D & D & D . What is D ?	D . What is D ?	D	True
(A & ~F) & A & A & (A & ~F) & D & D & (~I <=> D) & (~I <=> D) & (A & ~F) & A . What is ~F ?	(A & ~F) & A & D & (~I <=> D) . What is ~F ?	(A & ~F) & A & D & (~I <=> D)	True
(~G <=> ~J) & (~G <=> ~J) & ~F & (F <=> ~B) & (~J <=> F) & (F <=> ~B) & ~F & (~G <=> ~J) & (F <=> ~B) . What is G ?	(~G <=> ~J) & ~F & (F <=> ~B) & (~J <=> F) . What is G ?	(~G <=> ~J) & ~F & (F <=> ~B) & (~J <=> F)	True
~H & ~H . What is H ?	~H . What is H ?	~H	False
~H & (I ^ ~H) & (I ^ ~H) & (I ^ ~H) . What is H ?	~H & (I ^ ~H) . What is H ?	~H & (I ^ ~H)	False
(~E ==> ~B) & (~B & ~A) & (~C | ~F) & (~E ==> ~B) & ~C & (~C | ~F) & (D & ~E) & (~E ==> ~B) & ~C & (~C | ~F) & (D & ~E) . What is ~E ?	(~E ==> ~B) & (~B & ~A) & (~C | ~F) & ~C & (D & ~E) . What is ~E ?	(~E ==> ~B) & (~B & ~A) & (~C | ~F) & ~C & (D & ~E)	True
(B & J) . What is ~J ?	(B & J) . What is ~J ?	(B & J)	False
~E & ~E & (B ==> A) & (B ==> A) & (B ==> A) . What is ~E ?	~E & (B ==> A) . What is ~E ?	~E & (B ==> A)	True
(~I & ~B) & (~I & ~B) & (~B | D) & (D & J) & (D & J) & (D & J) . What is ~J ?	(~I & ~B) & (~B | D) & (D & J) . What is ~J ?	(~I & ~B) & (~B | D) & (D & J)	False
(~I & ~A) & ~A & (G | ~I) . What is A ?	(~I & ~A) & ~A & (G | ~I) . What is A ?	(~I & ~A) & ~A & (G | ~I)	False
E & E & E & (~I ==> ~C) & (A <=> E) & C & (~I ==> ~C) & (A <=> E) & (~I ==> ~C) . What is ~I ?	E & (~I ==> ~C) & (A <=> E) & C . What is ~I ?	E & (~I ==> ~C) & (A <=> E) & C	False
(~I | ~B) & (~B | ~G) & (~A & ~I) & (~H <=> ~J) & (~B | ~G) & (~B | ~G) & J & (~H <=> ~J) & (~A & ~I) & (~H <=> ~J) & (~A & ~I) . What is ~A ?	(~I | ~B) & (~B | ~G) & (~A & ~I) & (~H <=> ~J) & J . What is ~A ?	(~I | ~B) & (~B | ~G) & (~A & ~I) & (~H <=> ~J) & J	True
~G & (~E & ~C) & (~I ^ ~A) & ~G & (~I ^ ~A) & (~C <=> ~H) & (~E & ~C) & J & (~I ^ ~A) & (~E & ~C) & J . What is C ?	~G & (~E & ~C) & (~I ^ ~A) & (~C <=> ~H) & J . What is C ?	~G & (~E & ~C) & (~I ^ ~A) & (~C <=> ~H) & J	False
~E & (C ^ F) & (H & D) & (F ^ H) & (F ^ H) & (J ==> ~E) & (J ==> ~E) & ~F & (J ==> ~E) & ~E & ~E & (F ^ H) . What is H ?	~E & (C ^ F) & (H & D) & (F ^ H) & (J ==> ~E) & ~F . What is H ?	~E & (C ^ F) & (H & D) & (F ^ H) & (J ==> ~E) & ~F	True
(E & F) & (H ^ ~A) & G & (H ^ ~A) & (~I ^ E) & G & (~I ^ E) & G & (E & F) & (E & F) . What is ~E ?	(E & F) & (H ^ ~A) & G & (~I ^ E) . What is ~E ?	(E & F) & (H ^ ~A) & G & (~I ^ E)	False
~B & ~B & (B | ~I) & (B | ~I) & (B | ~I) . What is ~I ?	~B & (B | ~I) . What is ~I ?	~B & (B | ~I)	True
(E | A) & E & E . What is ~E ?	(E | A) & E . What is ~E ?	(E | A) & E	False
C . What is ~C ?	C . What is ~C ?	C	False
H & (~D | ~E) & (~D | ~E) & (~D | ~E) & (C & ~D) . What is H ?	H & (~D | ~E) & (C & ~D) . What is H ?	H & (~D | ~E) & (C & ~D)	True
A & A & (I ^ ~B) & (I ^ ~B) & (~D | H) & (~C | I) & (~C | I) & A . What is ~F ?	A & (I ^ ~B) & (~D | H) & (~C | I) . What is ~F ?	A & (I ^ ~B) & (~D | H) & (~C | I)	Unknown HELP!
